z / cm,0,0.25,0.5,0.75,1,1.5,2,3,4,5,6,7
7,0.01690213,0.017092271,0.017244009,0.017486487,0.017720923,0.017998516,0.017970121,0.01712852,0.015638663,0.013851787,0.012085687,0.010438968
6,0.022741035,0.023106957,0.023463323,0.023903915,0.024277515,0.024637134,0.024363268,0.022582465,0.019957364,0.017188543,0.014549204,0.012262893
5,0.032002786,0.032817431,0.033655947,0.03446441,0.035066008,0.035330655,0.034450264,0.030635917,0.025874263,0.021333301,0.017499792,0.014319795
4,0.048705822,0.050464739,0.052437343,0.054049808,0.054932401,0.054223976,0.051280238,0.042624614,0.033789672,0.026482433,0.020816898,0.016559391
3,0.081943246,0.088596808,0.093647547,0.096536545,0.096688512,0.090968469,0.081262986,0.060444844,0.04400963,0.032423195,0.024361115,0.018748556
2,0.177623876,0.200604393,0.214344049,0.214040457,0.20369497,0.170430723,0.136016757,0.085295322,0.05574852,0.038405281,0.027677403,0.020682828
1.5,0.311184007,0.364435116,0.382131904,0.361595064,0.323596716,0.241353162,0.176474522,0.099302482,0.06141858,0.041033223,0.029048804,0.021456861
1,0.707441061,0.858890357,0.817679721,0.68161866,0.542268128,0.339966865,0.22291256,0.112356486,0.066168264,0.043145124,0.030121855,0.022037932
0.5,3.446115476,3.469940272,2.192788103,1.354426199,0.885180077,0.446373549,0.263869002,0.121873633,0.069378739,0.044483823,0.030771788,0.022389947
0,680353045.9,15.46701123,4.291006445,1.953151828,1.10942,0.497357753,0.280972418,0.125375484,0.070506028,0.04494965,0.030998384,0.022511657
-0.5,2.62095131,3.465850088,2.196180456,1.354978332,0.885415838,0.446534219,0.263898122,0.121900097,0.069377827,0.04448449,0.030769996,0.022387825
-1,0.608313326,0.84857801,0.815884388,0.68135825,0.54293849,0.339952991,0.222954984,0.112357179,0.066172437,0.04314648,0.030118174,0.02203367
-1.5,0.27357198,0.354866817,0.379751361,0.360765783,0.323235141,0.24158835,0.176441424,0.099311756,0.061428876,0.041036652,0.029047023,0.021453281
-2,0.158653508,0.192740741,0.211900249,0.212994559,0.203243237,0.170304361,0.136121661,0.085299729,0.05575517,0.038409705,0.02767831,0.02068247
-3,0.074515505,0.083987596,0.091525003,0.095496984,0.096165882,0.090745154,0.08116705,0.060488918,0.044021347,0.032428689,0.024363678,0.018750982
-4,0.042244846,0.04715186,0.050735985,0.05311543,0.05434204,0.053983934,0.051167828,0.0425946,0.033810808,0.026485771,0.020817747,0.016559303
-5,0.027948968,0.030390771,0.032358984,0.033687742,0.034577037,0.035100758,0.034326753,0.030585522,0.025852575,0.021342769,0.017498346,0.014318778
-6,0.020046213,0.021342727,0.022466881,0.023257478,0.023837846,0.024388844,0.024237359,0.022539527,0.019935153,0.01716935,0.01455368,0.012262816
-7,0.014998893,0.015760637,0.016470806,0.016973885,0.017350673,0.017797712,0.01785784,0.017076603,0.015610079,0.013840204,0.012073744,0.010440387
